id,name,latitude,longitude,country,state,city,type,holes,par,phone,website,year_built,address,postal_code,architect,total_yardage,osm_id,updated_at,hole_1_par,hole_2_par,hole_3_par,hole_4_par,hole_5_par,hole_6_par,hole_7_par,hole_8_par,hole_9_par,hole_10_par,hole_11_par,hole_12_par,hole_13_par,hole_14_par,hole_15_par,hole_16_par,hole_17_par,hole_18_par,hole_1_hcp,hole_2_hcp,hole_3_hcp,hole_4_hcp,hole_5_hcp,hole_6_hcp,hole_7_hcp,hole_8_hcp,hole_9_hcp,hole_10_hcp,hole_11_hcp,hole_12_hcp,hole_13_hcp,hole_14_hcp,hole_15_hcp,hole_16_hcp,hole_17_hcp,hole_18_hcp
fe7b7918-f7ca-409f-b34b-9c14ceb530fc,The Federal Club,37.7657872275,-77.5975728035,US,VA,Glen Allen,Private,12,72,(804) 798-4996,http://www.thefederalclub.com,2007,13030 Palmers Way,23059,,,,2026-04-16T20:00:00.321374+00:00,4,,4,4,,,5,4,5,,3,4,5,,4,5,3,,3,,9,7,,,5,17,13,,18,4,16,,12,2,6,
79fa230f-1f29-43db-a245-9f661dfae1cb,Hurryville Driving Range,37.8294157,-90.4474533,US,IL,Farmington,,,,,,,Hurryville Road,63640,,,616407848,2026-04-07T15:52:13.057526+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9dd45da7-2eea-4dba-95f1-2c205e23a61e,Madisonville Country Club,37.290645,-87.5011765,US,IL,Madisonville,,,,,,,Hopkinsville Road,42431,,,59547177,2026-04-07T15:52:18.429461+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79b0a9eb-02d4-4180-b8dd-9b144df8bed6,Riverside Golf Course,38.5325711,-90.4388974,US,IL,Fenton,Private,16,71,,http://riversidegolf.net/,,Yarnell Road,63026,"William Langford, Bob Lohmann, Dick Nugent, Larry Packard",6748,41043070,2026-04-15T22:09:21.703026+00:00,4,4,3,4,4,4,3,,5,5,4,4,3,4,,4,4,3,7,1,13,17,3,9,15,,11,4,2,14,12,6,,18,8,16
40cb6586-c022-496d-bb05-f10ba8c72156,Henderson Country Club,37.8645924309859,-87.485549028169,US,KY,Henderson,Private,15,72,+1-270-826-2176,https://www.hendersoncountryclub.org/,1970,1030 Country Club Drive,42420,,,3928549,2026-04-16T20:00:03.572266+00:00,,3,4,,4,5,4,4,4,4,4,,3,5,4,3,4,5,,3,7,,9,1,13,17,5,8,4,,10,16,2,18,6,14
8bbd7327-d50a-4cc7-8e40-0d3c8b59766a,Hillcrest,37.7287957,-87.0775536,US,IL,Owensboro,Public,16,59,,,,Southeastern Parkway,42303,Al Linkogel,1848,1164484927,2026-04-17T12:55:37.032435+00:00,4,3,3,4,4,4,3,4,3,3,3,3,3,3,,3,3,,5,13,6,1,4,2,9,3,12,15,10,17,7,16,,8,18,
5db15e1e-276a-4395-a7bd-1eb2db82be95,Ville Platte Golf Country Club,30.7726403,-92.2819157,US,LA,Ville Platte,Private,8,36,1021683202,http://vpgcc.com/,1956,"2767 Chicot Park Rd, Ville Platte, LA 70586, USA",,,,,2026-04-08T04:57:33.736379+00:00,,4,5,3,4,4,3,4,5,,,,,,,,,,,18,16,6,10,12,8,4,2,,,,,,,,,
a5b56f59-b298-4dc3-a686-ddb35dfe8ebf,Normandie Golf Club,38.6975557,-90.3173652,US,IL,Saint Louis,,8,36,+1 314-862-4884,https://normandiegolf.com/,,7605 Saint Charles Rock Road,63133,,,151229180,2026-04-15T18:58:16.325034+00:00,4,4,3,5,,4,5,4,4,,,,,,,,,,1,9,11,7,,15,3,17,5,,,,,,,,,
4a1d13d7-1d57-4844-9ba6-ec7baeb8bfd9,St. Clair Country Club,38.5605422,-90.0534912,US,IL,Belleville,Private,15,72,,,,West Washington Street,62223,"William Langford, Theodore J. Moreau, Kye Goalby",6502,29425001,2026-04-15T22:09:23.81584+00:00,4,3,4,5,4,,4,4,,3,4,4,3,5,,3,4,5,7,17,1,3,15,,9,11,,18,2,8,16,6,,12,14,10
09b496b8-448a-4ef8-9769-5a741e58b989,Meadowbrook Country Club,38.6163656,-90.5619578,US,IL,Ballwin,,,,,,,200 Meadowbrook Country Club Estates,63011,,,52136232,2026-04-07T15:52:34.506449+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1de01ad7-b2b6-4ae4-84a3-813bc06c0a66,Egremont Country Club,42.198132,-73.4385681,US,MA,Great Barrington,Public,11,71,7626081675,,1950,"223 Egremont Plain Rd, Great Barrington, MA 01230, USA",01252,,,,2026-04-17T13:13:52.418737+00:00,,,3,4,5,3,,4,3,,,5,,3,4,,4,4,,,5,3,1,17,,9,13,,,6,,14,12,,10,4
fd3059cb-9c11-42b4-9e87-9101128d0c5a,Ruth Park Golf Couse,38.6700145,-90.3524269,US,IL,University City,,,,,,,Ruth Park Nature Trail,63130,,,149427294,2026-04-07T15:52:22.723678+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965c6ba7-bb3e-4823-b03a-49bd7ca8185c,Old Hickory Golf Club,38.7566018,-90.628643,US,IL,Saint Peters,Private,15,72,,,,1 Dye Club Drive,63304,Charles Maddox,7105,157522177,2026-04-15T22:09:25.528272+00:00,4,4,5,4,3,,4,,4,4,4,3,4,5,4,,3,5,9,7,1,11,13,,5,,15,14,4,18,10,6,2,,16,8
95ffed07-9962-485d-af98-159c04bcc02d,Saline County Golf Club,37.8266491,-88.4890285,US,IL,Eldorado,Semi-Private,14,70,,,,355 Golf Course Rd,62930,,5975,845519170,2026-04-15T22:09:21.130138+00:00,4,5,,3,4,,4,,4,,4,3,4,5,3,4,5,3,9,3,,5,7,,1,,13,,4,16,6,8,18,2,12,14
38d7a992-f434-4b90-bc8e-eab9c8633cc3,Algonquin Golf Club,38.5902779,-90.3731277,US,IL,Webster Groves,,,,,,,North Iola Drive,63119,,,42765424,2026-04-07T15:52:25.527578+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565a48e0-5d9b-453a-8938-63c8b5e48329,Mineral Mound State Park Golf Course,37.0625846,-88.0893217,US,IL,Eddyville,,,,,,,Mineral Mound Road,,,,645076367,2026-04-07T15:52:37.58843+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b644585-f8c3-4b83-8968-2b716cb149f7,Westwood Country Club,38.6447185,-90.432497,US,IL,Westwood,,,,,,,Terryhill Lane,63141,,,149421579,2026-04-07T15:52:40.752812+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0b12b411-dedd-4e70-b4b9-9137cf8dbea2,Sycamore Springs,40.9249772,-83.6650931,US,OH,Findlay,Semi-Private,15,72,1.6239316239,http://sycamorespringsgolf.com,1958,11492 Township Road 25,45840-9286,,,192436959,2026-04-15T22:09:27.29063+00:00,,3,4,5,,4,,3,4,4,5,3,4,4,3,4,5,4,,18,4,2,,8,,12,6,7,5,13,15,11,17,9,1,3
23dfeadd-710f-4442-868d-fd14c65e310d,Aberdeen Golf Club,38.533651,-90.6193718,US,IL,Eureka,,,,+1 636 938 5465,https://www.aberdeengolf.com/,,4111 Crescent Road,63025,,,365165191,2026-04-07T15:52:42.111059+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21c20595-ab1a-4ae0-a133-5ecea6750271,Kimbeland Country Club,37.3636719,-89.6434818,US,IL,Jackson,Semi-Private,13,71,+1 573 243 3923,https://www.kimbelandcountryclub.com/,,2175 East Jackson Boulevard,63755,Art Schaupeter,6534,382364577,2026-04-15T22:09:27.846159+00:00,5,4,5,3,4,,,,,4,5,3,5,4,4,4,4,,4,10,2,18,6,,,,,9,1,17,5,3,11,13,7,
3afcfde6-3398-46b0-b899-b21bd52f2532,Fairfield Golf Club,38.4522148,-90.1727768,US,IL,,Public,13,71,,,,Columbia Quarry Road,62236,Charles Krause,5864,163601292,2026-04-07T15:52:49.936029+00:00,5,4,4,3,5,3,,3,4,4,,3,,,4,3,,4,16,14,8,6,10,12,,2,18,17,,9,,,13,11,,15
15410bf0-b449-4e2e-9f1a-06af09748dfd,Jefferson Barracks Golf Tee,38.4731017,-90.236947,US,IL,Columbia,,,,,,,I 255;US 50,62236,,,508829982,2026-04-07T15:52:51.29598+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7904cb16-04b6-405e-b5a8-0c0d783d8ef8,Warrenton Golf Course,38.7633915,-91.1513291,US,IL,Warrenton,,,,+1 636 456 8726,https://warrentongolfcourse.com/,,24805 South Highway 47,63383,,,365221095,2026-04-07T15:52:43.643058+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fb86bf40-85ca-4df6-8c7f-a55587eb4aae,Boone Valley Golf Club,38.6265474,-90.879486,US,IL,Augusta,Public,8,35,+1 636 928 5200,https://www.boonevalley.org/,,1319 Schluersburg,63332,Vince Bizik,2902,393918551,2026-04-07T15:52:45.215234+00:00,5,3,,4,4,4,3,4,4,,,,,,,,,,1,7,,5,13,9,15,11,3,,,,,,,,,
c6ce0b9e-347a-4d4b-a853-80664cbadea6,River Lakes Golf Course,38.4697831,-90.2434042,US,IL,Columbia,Public,15,70,,,,Ramsey Road,,,5748,200053842,2026-04-17T12:55:37.311704+00:00,3,4,4,4,4,3,4,,,5,3,4,4,4,,3,5,4,9,15,7,1,13,17,11,,,4,16,8,2,12,,18,6,10
449d30c7-4d50-4128-9068-9b6766f81b8b,Mystic Oak Golf Course,38.3420155,-90.1315129,US,IL,Waterloo,Semi-Private,16,72,,,,643 Ridge Rd.,62298,Donald Horrell,6358,468897460,2026-04-15T22:09:30.452087+00:00,4,3,4,5,,5,3,4,5,4,4,4,5,3,,3,4,4,8,12,14,6,,2,16,4,10,13,9,15,3,5,,17,11,7
d91e7bad-4aba-4dd6-9332-6bb81336cafa,The Prairies Golf Course,38.5543035,-90.1808006,US,IL,Cahokia,Public,14,71,,,,Miskell Boulevard,62206,Dick Gundlach,6456,508541236,2026-04-15T22:09:31.052402+00:00,4,4,,5,4,4,3,4,5,,5,4,,3,,4,3,4,9,1,,5,15,3,13,11,7,,2,18,,16,,6,14,8
d053c84c-0487-487f-bb70-5c6866a0ad82,Coharie Country Club,34.9986156617,-78.3675925939,US,NC,Clinton,Private,13,72,3141925352,http://www.cohariecc.com,1947,195 Coharie Lane,28328,,,,2026-04-15T22:09:31.634793+00:00,4,4,5,3,4,3,,5,,3,,,5,,3,4,4,5,15,3,9,13,17,7,,11,,12,,,16,,18,2,6,10
f846b429-ed42-4fab-9826-c7f55bd5619b,North At Los Angeles Country Club The,34.0694313,-118.4232896,US,CA,Los Angeles,Private,14,70,(310) 276-6104,http://www.thelacc.org/,1897,"10101 Wilshire Blvd, Los Angeles, CA 90024, USA",90067,,,,2026-04-16T02:41:40.692848+00:00,5,4,,3,4,4,3,5,3,,,4,4,5,,4,4,4,11,3,,15,1,5,17,9,13,,,8,4,2,,16,6,10
88d752bd-a7c2-4f7e-a6e6-6b225eb1b6b7,Brigantine Golf Links,39.4205799958,-74.3707036972,US,NJ,Brigantine,Public,13,72,4444507967,http://www.brigantinegolf.com/,1927,Roosevelt Boulevard,08203,,,,2026-04-15T22:09:26.678058+00:00,5,4,3,4,,5,,4,4,5,4,,4,4,3,,4,,14,16,4,12,,6,,10,8,3,13,,5,9,7,,1,
259f5c8a-14b0-4236-b173-ada309d68275,Belle Haven Country Club,38.7896667,-77.0601617,US,VA,Alexandria,Private,15,72,1341569896,http://www.bellehavencc.com/,1924,"6023 Fort Hunt Rd, Alexandria, VA 22307, USA",22307,,,,2026-04-16T20:39:55.842271+00:00,,4,4,5,4,,4,4,3,3,4,5,4,4,4,,3,4,,15,3,5,13,,9,1,11,16,4,8,2,12,10,,18,14
d8042f2c-ef07-44c7-bea0-c86aa6c919e1,Pevely Farms Golf Course,38.5250848354839,-90.5973299887097,US,IL,Saint Louis,Public,14,71,+1 636 938 7000,https://www.pevelyfarms.com/,,400 Lewis Road,63025,Roy Case,6510,5429230,2026-04-15T22:09:32.796394+00:00,3,5,,4,5,,4,,3,,3,4,5,4,5,3,5,4,14,10,,18,8,,2,,16,,17,3,1,7,13,11,5,15
53370050-5cd7-485a-86c5-7b728c4b579c,Waterloo Country Club,38.3647728,-90.1478777,US,IL,Waterloo,Private,8,35,,,,Country Club Lane,62298,,2480,1456324187,2026-04-17T12:55:38.017081+00:00,4,3,5,4,4,,4,4,3,,,,,,,,,,8,14,2,16,10,,6,12,4,,,,,,,,,
5069c88d-8eec-47cb-979b-e5b6250f9f93,Lakelands Golf and Country Club,42.4730747,-83.8390116,US,MI,Brighton,Private,12,72,+1-810-231-3000,https://www.lakelandsgolf.com/,1922,8760 Chilson Road,48116,,,294435506,2026-04-15T22:09:33.929918+00:00,,3,4,,,,4,3,5,5,4,,4,4,3,3,5,,,6,4,,,,2,12,10,17,5,,15,3,9,7,13,
4821db3f-5657-4d22-bdf0-399dbbfff700,Fore Honor Golf Course,38.3781431,-90.5794285,US,IL,,Public,7,36,,,,Deer Creek Road,63051,,2910,1219099645,2026-04-15T22:09:35.075619+00:00,4,5,5,4,4,,3,3,,,,,,,,,,,9,17,13,15,5,,3,1,,,,,,,,,,
7e4d5439-fa78-40f3-a727-18c5e5be8b39,Innsbrook Golf Course,38.7689094,-91.0252637,US,IL,Innsbrook,,,,,,,1090 Eagle Bend Drive,63390,,,1461860690,2026-04-07T15:53:01.548149+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4999bed-2811-4c94-b30c-bb2a1d4e66a1,Gateway National Golf Links,38.658395,-90.1446497,US,IL,Brooklyn,Public,15,71,,,,Golf Drive,62060,"Keith Foster, Kevin Hargrave",7178,782435512,2026-04-16T06:24:21.500959+00:00,4,4,5,3,4,,3,,4,4,4,3,5,,4,4,3,5,13,7,1,17,3,,15,,9,12,6,18,2,,4,10,16,8
500f6595-c414-42d8-b7b0-c9aa35864907,The Country Club of Saint Albans,38.5820608394322,-90.7546876798107,US,IL,Saint Albans,,,,+1 636 458 3060,http://www.ccstalbans.com/,,3165 Saint Albans Road,63073,,,5431970,2026-04-07T15:53:06.034604+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cb352424-4529-46a3-a39c-34bb2d3f73f4,Tapawingo National Golf Club,39.0170767252941,-86.997018872353,US,IN,Sunset Hills,Public,13,72,+1 636 349 3100,http://www.tapawingogolf.com,1994,13001 Gary Player Drive,63127,,,6668441,2026-04-16T20:00:05.113678+00:00,4,3,,5,,4,,,5,4,,3,4,4,3,5,4,5,9,17,,1,,7,,,5,12,,16,10,2,18,6,8,4
c18e71d3-97f1-491e-bf6d-9ef63f583adc,Pine Hills Golf Course,43.0415082472,-75.1330518723,US,NY,Frankfort,Semi-Private,12,70,2545352419,http://www.grygielspinehillsgolfcourse.com,1954,Mucky Run Road,13340,,,,2026-04-15T22:09:32.229777+00:00,4,,4,4,3,4,,,,4,4,3,,3,4,,4,5,7,,15,10,18,4,,,,1,8,14,,16,13,,11,2
30cdd65e-758b-4f46-afc0-a033e2070771,Lake Saint Louis 9-Hole Golf Course,38.7962512037037,-90.7968152074074,US,IL,Lake Saint Louis,,,,+1-636-625-8276,https://lslca.com/jupgrade/index.php/amenities/golf,,100 Cognac,63367,,,3939927,2026-04-07T15:53:14.988301+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e8973e41-deaf-4699-8e19-c472ebbebe33,St. Peters Golf Course,38.795177037,-90.645884119,US,IL,Saint Peters,,,,,,,I 70,63376,,,8541335,2026-04-07T15:53:16.372395+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8e4d989b-28d0-4861-9494-1141e699ac12,Knights of Columbus Par 3 Course,39.9207979,-91.3615757,US,IL,Quincy,Semi-Private,6,27,,,,Ridgewood Drive,62301,,897,677987032,2026-04-07T15:53:17.752961+00:00,3,3,3,3,3,3,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,
7ba986aa-ad2b-4151-8ee6-799d1cd9c672,Nags Head Golf Links,35.9288668339,-75.6151306629,US,NC,Nags Head,Semi-Private/Resort,13,71,252-441-8073,http://www.nagsheadgolflinks.com/,1986,West Seachase Drive,27959,,,,2026-04-16T20:40:10.737311+00:00,4,,3,4,5,3,,4,4,3,4,4,,4,3,4,,,13,,17,11,1,15,,9,5,16,8,2,,12,10,14,,
4f230f18-06a9-4861-b17c-800052d6ef95,Swansea Clinton Hills Conservation Park,38.5491809,-89.9606213,US,IL,,,,,,,,,,,,19892751,2026-04-16T06:10:18.953942+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eb92de25-1650-49d1-b3bf-aca50ecaa08a,Rush Lake Hills Golf Club,42.4800857,-83.8827962,US,MI,Pinckney,Public,12,73,+1-734-878-9790,https://www.rushlakehills.com/,1961,3199 Rush Lake Road,48169,,,294435510,2026-04-15T22:09:37.992772+00:00,5,,3,4,,5,,3,4,4,5,4,3,,,,4,5,3,,13,15,,5,,17,7,8,2,6,18,,,,4,10
18162707-3484-4f29-9156-16527eb0cbe6,Benton Country Club,38.017522,-88.8781471,US,IL,Benton,Semi-Private,8,36,,,,14783 State Hwy 14,62812,Robert B. Harris,3086,900265515,2026-04-15T22:09:38.576968+00:00,4,5,,3,5,4,3,4,4,,,,,,,,,,15,5,,9,3,1,17,11,13,,,,,,,,,
baa8bc35-6d39-4345-9bcf-b415cdcccd24,Clay County Country Club,38.6605589,-88.5426145,US,IL,,Public,8,34,,,,Golf Course Road,62839,Scotty Glasgow,6533,1462842602,2026-04-17T12:55:38.730924+00:00,5,4,,4,4,3,4,4,3,,,,,,,,,,8,9,,1,3,5,2,6,4,,,,,,,,,
1bbbb522-f207-4f99-901d-27286581c39f,Meadow Woods,38.5370581,-89.0944103,US,IL,Centralia,Public,15,72,,,,Tee Lane,62802,"Joe Lee, Rocky Roquemore, William S. Flynn, Joe T. Jemsek",7218,792587697,2026-04-15T22:09:39.70039+00:00,4,5,4,5,3,4,4,3,,,4,,5,4,5,4,3,4,13,11,5,7,15,1,3,17,,,12,,4,8,2,14,18,10
5951facc-f4d9-4318-bbef-43b77fa62eb9,McLeansboro Golf Club,38.0938689,-88.56421,US,IL,McLeansboro,Semi-Private,6,36,+1-618-643-2400,http://www.mclgolf.org/,,Golf Course Road,62859,,3228,295678320,2026-04-15T22:09:40.240775+00:00,4,5,,4,3,5,,4,,,,,,,,,,,8,18,,10,6,2,,4,,,,,,,,,,
6084c80d-03a2-493a-aa3b-eda0edc3d85b,Sparta Country Club,38.1155133,-89.7175028,US,IL,Sparta,Private,8,35,+1 618 443 4911,https://spartacountryclub.com/,,19 Fairway Drive,62286,,2898,546428649,2026-04-15T22:09:40.813667+00:00,4,4,4,5,3,,4,4,4,,,,,,,,,,16,18,8,10,12,,2,6,14,,,,,,,,,
bb7f1472-0d76-4e34-bccf-cf4726eb2893,The Orchards Golf Course,38.4905595028409,-89.6912502085227,US,IL,Belleville,Public,14,71,,,,1499 Golf Course Drive,62220,Bob Golby,7112,17616756,2026-04-15T22:09:41.934956+00:00,4,3,,5,4,3,5,3,4,,5,4,,3,,4,3,5,3,11,,9,15,17,13,5,1,,8,14,,12,,10,18,2
c2b9bb96-b29f-41fb-b6d5-48984b154262,Stonewolf Golf Club,38.6004919209524,-89.6337813533333,US,IL,,Public,16,72,,,,Rocky Ford Road,62245,"Jack Nicklaus, Bruce Borland",6943,19892752,2026-04-15T22:09:43.042254+00:00,4,4,5,3,4,5,4,3,,4,3,4,4,5,,4,5,4,7,13,5,15,3,11,9,17,,4,18,16,6,10,,12,8,2
bd20b0c8-04a2-4b8d-9e6e-c113cdf4cc92,Pickering Valley Golf Club,40.1003069536,-75.5186998844,US,PA,Phoenixville,Public,10,72,,http://www.golfpickeringvalley.com,1985,South Whitehorse Road,19460,,,,2026-04-16T06:10:12.539805+00:00,,,4,5,4,,4,5,,3,,4,4,,,,5,4,,,8,16,2,,4,14,,17,,9,7,,,,13,1
d711aaca-0011-4f48-862f-48e48577eae0,Whitmoor Country Club - North Course,38.7192659809338,-90.6273819050584,US,IL,Weldon Spring,Private,15,72,,,,Clifden Drive,63304,"H. S. Colt, C. H. Alison, Rick Jacobson, Dick Nugent, Alister MacKenzie",6977,20346860,2026-04-15T22:09:36.718201+00:00,4,5,3,4,,4,,3,4,4,4,5,3,4,,3,4,4,5,13,17,1,,7,,11,9,2,16,4,14,12,,18,8,6
3e23a856-cae7-4718-b526-eb1256cf0dc3,Tamarack Golf Club,38.0656181765432,-83.4686374592593,US,KY,,Semi-Private,16,70,,,,Heron Road,46351,David Gill,6901,19892143,2026-04-16T20:00:07.032937+00:00,4,4,3,4,5,3,4,4,,5,3,5,4,3,,4,3,4,11,3,17,7,1,13,15,9,,8,14,2,16,18,,4,10,12
407aaa11-8380-487a-a245-e2308e34b450,Lower At Peekn Peak Golf Course,42.0639500429,-79.7303581238,US,NY,Findley Lake,Public/Resort,15,72,3455880396,http://www.pknpk.com,1973,Conway Road,14724,,,,2026-04-16T20:40:17.341094+00:00,,3,4,4,5,4,,3,4,4,3,4,,4,5,3,5,4,,17,11,13,1,9,,3,5,2,18,6,,10,14,12,4,8
ec83a4ba-e4ba-4a3b-99b6-f7afac46d554,The Links of Jacksonville,39.6994177,-90.214881,US,IL,Jacksonville,Public,15,72,,,,Southbrooke Road,62650,David Gill,1590,127810940,2026-04-17T12:55:39.550975+00:00,4,4,,3,4,5,4,3,4,4,3,5,,3,,4,4,5,13,7,,9,1,3,11,17,15,8,12,10,,16,,6,18,4
cf1d5a1b-d38a-409a-aedc-553d57b9d4c4,Thunderbolt Pass Golf Course,38.0341087,-87.5499151,US,IN,Evansville,Public,14,70,+1-812-426-2166,https://thunderboltpass.com/,1973,6901 Petersburg Road,47111,,,295448001,2026-04-15T22:09:44.119553+00:00,4,5,3,4,3,4,,3,,5,,3,4,4,,4,3,5,10,12,8,18,16,2,,4,,13,,17,9,7,,1,5,15
763e9c44-59eb-4f4f-b66f-0978f7e08f85,Evansville Country Club,38.9191605078431,-88.3450727803922,US,IL,,Private,14,70,,,1900,3810 Stringtown Road,62448,,,18012272,2026-04-16T20:00:10.618827+00:00,,4,3,4,4,3,4,,5,4,3,,5,3,4,,5,4,,7,15,1,11,13,3,,9,12,16,,6,18,14,,8,10
608fb505-e8d1-4ede-84d7-64c9845cb9b6,The Golf Club at Mt. Brighton,42.5386936,-83.8045826,US,MI,Brighton,Public,12,72,,http://www.mtbrightongolf.com/,1994,4141 Bauer Road,48116,,,294435511,2026-04-15T22:09:45.663598+00:00,,4,3,5,,3,,4,4,4,5,,3,4,3,,4,,,17,13,5,,11,,15,9,10,8,,16,4,18,,12,
6fbdce46-575a-44bb-b60a-8ca1b18e9ffc,Keith Hills Golf Club Orange Course,35.3920609933,-78.7604483916,US,NC,Buies Creek,Semi-Private,4,36,121-1470372,http://www.keithhills.com,2002,216 Country Club Drive,27546,,,,2026-04-07T15:53:45.39265+00:00,,,3,,,5,3,,4,,,,,,,,,,,,17,,,7,13,,3,,,,,,,,,
